k = 0, count = 3665
k = 1, count = 163918
k = 2, count = 113846
k = 3, count = 45316
k = 4, count = 21250
k = 5, count = 11046
k = 6, count = 6208
k = 7, count = 3726
k = 8, count = 2442
k = 9, count = 1806
k = 10, count = 1370
k = 11, count = 1232
k = 12, count = 1256
k = 13, count = 1634
k = 14, count = 2414
k = 15, count = 4426
k = 16, count = 7624
k = 17, count = 10980
k = 18, count = 12808
k = 19, count = 12905
k = 20, count = 11520
k = 21, count = 9156
k = 22, count = 6606
k = 23, count = 4584
k = 24, count = 3190
k = 25, count = 2074
k = 26, count = 1568
k = 27, count = 1123
k = 28, count = 908
k = 29, count = 835
k = 30, count = 796
k = 31, count = 996
k = 32, count = 1570
k = 33, count = 2438
k = 34, count = 3322
k = 35, count = 4008
k = 36, count = 4264
k = 37, count = 4136
k = 38, count = 3586
k = 39, count = 2944
k = 40, count = 2262
k = 41, count = 1838
k = 42, count = 1365
k = 43, count = 961
k = 44, count = 814
k = 45, count = 590
k = 46, count = 614
k = 47, count = 519
k = 48, count = 660
k = 49, count = 873
k = 50, count = 1160
k = 51, count = 1473
k = 52, count = 1651
k = 53, count = 1784
k = 54, count = 1700
k = 55, count = 1610
k = 56, count = 1363
k = 57, count = 1187
k = 58, count = 1003
k = 59, count = 733
k = 60, count = 587
k = 61, count = 503
k = 62, count = 472
k = 63, count = 381
k = 64, count = 386
k = 65, count = 464
k = 66, count = 530
k = 67, count = 632
k = 68, count = 709
k = 69, count = 777
k = 70, count = 888
k = 71, count = 778
k = 72, count = 710
k = 73, count = 672
k = 74, count = 603
k = 75, count = 477
k = 76, count = 452
k = 77, count = 369
k = 78, count = 300
k = 79, count = 271
k = 80, count = 283
k = 81, count = 301
k = 82, count = 283
k = 83, count = 326
k = 84, count = 360
k = 85, count = 378
k = 86, count = 439
k = 87, count = 455
k = 88, count = 471
k = 89, count = 341
k = 90, count = 336
k = 91, count = 362
k = 92, count = 264
k = 93, count = 230
k = 94, count = 256
k = 95, count = 232
k = 96, count = 191
k = 97, count = 134
k = 98, count = 171
k = 99, count = 7170
