k = 0, count = 3665
k = 1, count = 197344
k = 2, count = 109338
k = 3, count = 51417
k = 4, count = 27493
k = 5, count = 16943
k = 6, count = 11138
k = 7, count = 8172
k = 8, count = 6272
k = 9, count = 5375
k = 10, count = 4848
k = 11, count = 5315
k = 12, count = 5558
k = 13, count = 6418
k = 14, count = 6434
k = 15, count = 6603
k = 16, count = 6157
k = 17, count = 5537
k = 18, count = 4843
k = 19, count = 4187
k = 20, count = 3526
k = 21, count = 3101
k = 22, count = 2693
k = 23, count = 2424
k = 24, count = 2340
k = 25, count = 2220
k = 26, count = 2141
k = 27, count = 2169
k = 28, count = 2073
k = 29, count = 2003
k = 30, count = 2056
k = 31, count = 1748
k = 32, count = 1700
k = 33, count = 1441
k = 34, count = 1312
k = 35, count = 1311
k = 36, count = 1118
k = 37, count = 1030
k = 38, count = 1002
k = 39, count = 1016
k = 40, count = 964
k = 41, count = 950
k = 42, count = 913
k = 43, count = 892
k = 44, count = 739
k = 45, count = 759
k = 46, count = 711
k = 47, count = 619
k = 48, count = 610
k = 49, count = 522
k = 50, count = 523
k = 51, count = 440
k = 52, count = 473
k = 53, count = 390
k = 54, count = 461
k = 55, count = 372
k = 56, count = 363
k = 57, count = 356
k = 58, count = 313
k = 59, count = 299
k = 60, count = 286
k = 61, count = 282
k = 62, count = 239
k = 63, count = 214
k = 64, count = 176
k = 65, count = 181
k = 66, count = 169
k = 67, count = 168
k = 68, count = 149
k = 69, count = 189
k = 70, count = 132
k = 71, count = 122
k = 72, count = 126
k = 73, count = 105
k = 74, count = 116
k = 75, count = 97
k = 76, count = 109
k = 77, count = 104
k = 78, count = 98
k = 79, count = 89
k = 80, count = 82
k = 81, count = 67
k = 82, count = 77
k = 83, count = 86
k = 84, count = 70
k = 85, count = 47
k = 86, count = 37
k = 87, count = 51
k = 88, count = 47
k = 89, count = 40
k = 90, count = 47
k = 91, count = 33
k = 92, count = 49
k = 93, count = 30
k = 94, count = 35
k = 95, count = 31
k = 96, count = 26
k = 97, count = 21
k = 98, count = 31
k = 99, count = 392
